Index,Name,Team,LP,GP,W%,OE Rating,Split,,,,,
1,jojopyun,EG,885,202,0.62,S,Spring 1,,,,,
2,Olleh,GG,800,183,0.62,S,Spring 1,,,,,
3,Kaori,EG,780,201,0.59,S,Spring 1,,,,,
4,Srtty,EG,740,179,0.61,S,Spring 1,,,,,
5,Zven,C9,725,170,0.62,S,Spring 1,,,,,
6,RJS,BOG,650,260,0.5,A-,Spring 1,,,,,
7,Mia,EST,635,173,0.58,S,Spring 1,,,,,
8,Armao,TL,630,168,0.58,A+,Spring 1,,,,,
9,Kumo,FLY,625,222,0.52,A-,Spring 1,,,,,
10,Dhokla,CLG,605,152,0.6,A+,Spring 1,,,,,
11,Tomio,EG,590,197,0.53,A,Spring 1,,,,,
12,River,DIG,565,107,0.68,S,Spring 1,,,,,
13,Tony Top,GG,535,190,0.52,A,Spring 1,,,,,
14,Yeon,TL,490,118,0.61,S,Spring 1,,,,,
15,ADD,ISG,480,90,0.69,S,Spring 1,,,,,
16,Tomo,FLY,475,121,0.6,A+,Spring 1,,,,,
17,Ariendel,SN,455,155,0.53,A-,Spring 1,,,,,
18,Kenvi,100,440,107,0.61,A+,Spring 1,,,,,
19,Lost,GG,450,99,0.64,S,Spring 1,,,,,
20,Josedeodo,FLY,440,146,0.53,A,Spring 1,,,,,
21,Hans sama,TL,435,105,0.61,A+,Spring 1,,,,,
22,Breezy,CLG,435,153,0.52,A,Spring 1,,,,,
23,Lourlo,-,415,196,0.47,B,Spring 1,,,,,
24,Takeover,TSM,405,159,0.5,B+,Spring 1,,,,,
25,Arrow,IMT,395,110,0.57,A,Spring 1,,,,,
26,Smoothie,-,390,144,0.51,B+,Spring 1,,,,,
27,CoreJJ,TL,385,100,0.59,A,Spring 1,,,,,
28,Johnsun,FLY,380,89,0.62,S,Spring 1,,,,,
29,Dimitry,AZE,390,110,0.56,A,Spring 1,,,,,
30,Ablazeolive,GG,380,122,0.54,A,Spring 1,,,,,
31,Busio,100,375,114,0.54,A-,Spring 1,,,,,
32,Eyla,TL,355,94,0.59,A+,Spring 1,,,,,
33,Yukino,NOT,355,112,0.54,B+,Spring 1,,,,,
34,Licorice,GG,330,81,0.6,S,Spring 1,,,,,
35,Diamond,FLY,340,148,0.49,B,Spring 1,,,,,
36,Jelly,ISG,335,86,0.59,A+,Spring 1,,,,,
37,Abbedagge,100,335,83,0.6,A,Spring 1,,,,,
38,Destiny,IMT,335,108,0.54,A,Spring 1,,,,,
39,Tenacity,100,330,102,0.54,A-,Spring 1,,,,,
40,Malice,C9,310,82,0.59,A,Spring 1,,,,,
41,Pridestalker,GG,295,163,0.45,B,Spring 1,,,,,
42,Darshan,C9,320,128,0.49,B,Spring 1,,,,,
43,Niles,MU,305,105,0.52,A-,Spring 1,,,,,
44,Cepted,R7,305,92,0.55,A,Spring 1,,,,,
45,Philip,FLY,305,130,0.48,B,Spring 1,,,,,
46,Santorin,TL,300,81,0.57,A,Spring 1,,,,,
47,Stunt,-,290,112,0.5,A-,Spring 1,,,,,
48,Winston,IMA,280,159,0.45,C+,Spring 1,,,,,
49,Sword,100X,290,118,0.48,B,Spring 1,,,,,
50,Neo,DIG,260,50,0.68,S,Spring 1,,,,,
51,Keine,XTN,270,92,0.52,B+,Spring 1,,,,,
52,Gweiss,-,260,90,0.52,B+,Spring 1,,,,,
53,Impact,EG,255,87,0.53,A-,Spring 1,,,,,
54,Jenkins,CLG,255,68,0.57,A,Spring 1,,,,,
55,Summit,C9,255,59,0.61,A+,Spring 1,,,,,
56,PowerOfEvil,IMT,250,56,0.63,A+,Spring 1,,,,,
57,Shenyi,TSM,245,92,0.51,B+,Spring 1,,,,,
58,Leza,EST,235,73,0.55,A-,Spring 1,,,,,
59,Bjergsen,TL,240,67,0.57,A-,Spring 1,,,,,
60,Closer,100,230,62,0.58,A,Spring 1,,,,,
61,Luger,CLG,235,101,0.49,B,Spring 1,,,,,
62,Bwipo,TL,230,74,0.54,A-,Spring 1,,,,,
63,duong pro,UCI,250,92,0.5,B-,Spring 1,,,,,
64,JimieN,100,225,76,0.53,B+,Spring 1,,,,,
65,Bvoy,EST,240,146,0.44,C,Spring 1,,,,,
66,SoHwan,R7,235,105,0.48,B,Spring 1,,,,,
67,Vulcan,EG,215,57,0.58,A-,Spring 1,,,,,
68,Luci,AK,220,108,0.46,C+,Spring 1,,,,,
69,Palafox,CLG,230,111,0.46,C+,Spring 1,,,,,
70,toucouille,FLY,210,94,0.48,B,Spring 1,,,,,
71,Lonely,AZE,200,38,0.68,A+,Spring 1,,,,,
72,Spirax,FLY,195,69,0.52,A-,Spring 1,,,,,
73,Pretty,IMT,190,91,0.47,B,Spring 1,,,,,
74,ry0ma,GG,190,55,0.56,A,Spring 1,,,,,
75,Svenskeren,C9,190,52,0.58,A,Spring 1,,,,,
76,CaD,AK,195,57,0.54,B+,Spring 1,,,,,
77,Blaber,C9,185,38,0.66,A+,Spring 1,,,,,
78,Insanity,100X,195,83,0.48,B+,Spring 1,,,,,
79,V1per,TSM,180,60,0.53,A-,Spring 1,,,,,
80,Revenge,IMT,185,84,0.48,B,Spring 1,,,,,
81,Isles,C9,190,57,0.54,B,Spring 1,,,,,
82,Sketch,EGP,205,85,0.47,B-,Spring 1,,,,,
83,Concept,IMT,180,91,0.46,B-,Spring 1,,,,,
84,Xerxe,IMT,170,47,0.57,A-,Spring 1,,,,,
85,huhi,100,180,92,0.46,C+,Spring 1,,,,,
86,Berserker,C9,165,49,0.55,A-,Spring 1,,,,,
87,Instinct,TSM,175,115,0.43,B-,Spring 1,,,,,
88,Inspired,EG,160,55,0.53,A-,Spring 1,,,,,
89,Hoglet,-,160,48,0.54,B,Spring 1,,,,,
90,Grell,EST,150,78,0.46,B,Spring 1,,,,,
91,Oddie,R7,155,45,0.56,B+,Spring 1,,,,,
92,RoseThorn,CLG,145,37,0.59,A,Spring 1,,,,,
93,Jensen,-,160,68,0.47,B,Spring 1,,,,,
94,JayJ,DIG,135,36,0.58,A,Spring 1,,,,,
95,aphromoo,FLY,140,66,0.47,B,Spring 1,,,,,
96,Joey,IMT,130,73,0.45,B,Spring 1,,,,,
97,FBI,100,135,55,0.49,B,Spring 1,,,,,
98,Haeri,TL,155,86,0.43,C,Spring 1,,,,,
99,Stixxay,GG,140,40,0.53,B+,Spring 1,,,,,
100,Dardoch,IMT,125,35,0.57,A-,Spring 1,,,,,
101,cody,INF,130,56,0.48,B,Spring 1,,,,,
102,Copy,C9,125,20,0.75,A+,Spring 1,,,,,
103,Tactical,TSM,120,36,0.56,A-,Spring 1,,,,,
104,Lyg,EST,140,111,0.41,C,Spring 1,,,,,
105,WildTurtle,IMT,115,43,0.51,A-,Spring 1,,,,,
106,5fire,NOT,110,29,0.59,A,Spring 1,,,,,
107,Strompest,SLU,135,89,0.42,C,Spring 1,,,,,
108,Contractz,CLG,110,17,0.76,A+,Spring 1,,,,,
109,Bradley,TL,120,88,0.42,C+,Spring 1,,,,,
110,Array,100X,105,73,0.42,C+,Spring 1,,,,,
111,Fix,GET,95,97,0.39,C-,Spring 1,,,,,
112,Wixxi,100,110,43,0.49,B-,Spring 1,,,,,
113,Keith,-,105,72,0.42,C+,Spring 1,,,,,
114,Chad,IMT,90,36,0.5,A,Spring 1,,,,,
115,Minui,WC,100,30,0.53,B+,Spring 1,,,,,
116,Chime,GG,85,31,0.52,B+,Spring 1,,,,,
117,Bardito,GET,95,43,0.47,B,Spring 1,,,,,
118,Messages,3P,95,25,0.56,B+,Spring 1,,,,,
119,Ackerman,INF,90,38,0.47,B,Spring 1,,,,,
120,Prismal,CLG,80,47,0.45,B,Spring 1,,,,,
121,Yuuji,FLY,80,68,0.41,C+,Spring 1,,,,,
122,Hyper,TSM,80,18,0.61,B,Spring 1,,,,,
