"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",13,"62%","23%",39,37,81,3.2,"65.2%","21.2%","25.3%","23%",-58,-96,0,8.8,"25.2%",577,"28.9%","29.8%",285,"23.8%",0,0.57,0.21,0.26
"Ablazeolive","Golden Guardians","Middle",13,"38%","31%",34,41,58,2.2,"62.2%","23.0%","22.2%","8%",3,-83,1.7,8.4,"25.0%",565,"29.7%","31.6%",256,"23.3%",0,0.46,0.18,0.22
"aphromoo","FlyQuest","Support",13,"54%","38%",10,40,99,2.7,"70.8%","6.5%","26.7%","15%",29,90,5.1,1.3,"3.0%",110,"6.7%","5.6%",98,"8.7%",0,1.17,0.44,0.32
"Arrow","Immortals","ADC",6,"17%","33%",16,15,16,2.1,"53.3%","26.7%","16.7%","0%",-316,-88,-3,8.3,"26.8%",391,"22.4%","23.7%",241,"22.9%",0,0.46,0.17,0.32
"Berserker","Cloud9","ADC",13,"85%","46%",46,16,65,6.9,"60.3%","25.0%","13.7%","15%",-135,-9,1.4,9.8,"28.1%",482,"25.3%","28.1%",310,"24.1%",1,0.43,0.15,0.3
"Biofrost","Dignitas","Support",13,"54%","46%",12,21,102,5.4,"80.3%","8.5%","17.6%","23%",107,-24,-8,0.9,"2.6%",180,"11.1%","9.4%",107,"9.5%",0,1.67,0.51,0.4
"Bjergsen","Team Liquid","Middle",13,"77%","77%",39,13,88,9.8,"69.0%","21.2%","10.2%","23%",-1,15,-3,9.3,"24.2%",484,"23.9%","24.8%",284,"23.0%",0,0.38,0.12,0.12
"Blaber","Cloud9","Jungle",13,"85%","54%",35,26,94,5,"70.1%","19.0%","22.2%","31%",1,76,1.7,8.1,"19.9%",344,"17.8%","18.3%",255,"20.1%",2,0.31,0.2,0.34
"Blue","Dignitas","Middle",13,"54%","62%",32,22,60,4.2,"64.8%","22.5%","18.5%","23%",77,108,1.4,9.6,"28.8%",473,"27.9%","29.3%",293,"25.9%",0,0.41,0.15,0.27
"Bwipo","Team Liquid","Top",13,"77%","62%",34,32,63,3,"52.7%","18.5%","25.2%","23%",117,-5,0.8,9.5,"28.5%",506,"25.5%","22.3%",301,"24.3%",0,0.46,0.22,0.2
"Closer","100 Thieves","Jungle",13,"62%","69%",35,23,98,5.8,"72.3%","19.0%","15.8%","54%",-122,-168,-5.8,6.3,"15.1%",274,"14.1%","13.8%",206,"17.4%",3,0.39,0.27,0.35
"Contractz","Counter Logic Gaming","Jungle",13,"38%","46%",32,56,65,1.7,"66.4%","21.9%","31.1%","62%",-80,-63,-3.3,6.3,"15.2%",306,"16.3%","17.0%",191,"17.8%",1,0.4,0.33,0.39
"CoreJJ","Team Liquid","Support",6,"83%","0%",6,14,72,5.6,"83.0%","6.4%","23.3%","83%",113,-30,-1.7,1.2,"3.0%",149,"6.7%","5.4%",115,"9.2%",0,1.36,0.4,0.47
"Danny","Evil Geniuses","ADC",13,"46%","38%",65,28,48,4,"69.8%","40.1%","18.4%","15%",321,193,8.2,10.4,"33.9%",620,"34.4%","37.4%",331,"29.1%",0,0.38,0.16,0.36
"Destiny","Immortals","Support",13,"31%","62%",4,43,85,2.1,"63.6%","2.9%","23.4%","31%",-78,-80,1.1,1,"2.2%",122,"6.4%","5.3%",88,"8.0%",0,1.72,0.51,0.36
"Eyla","Team Liquid","Support",7,"71%","29%",6,18,53,3.3,"65.6%","6.7%","26.9%","71%",142,35,-1,1.1,"2.7%",140,"8.1%","8.1%",100,"8.3%",0,1.49,0.44,0.37
"FakeGod","Dignitas","Top",13,"54%","54%",24,23,52,3.3,"53.5%","16.9%","19.3%","8%",-32,212,1.1,8.4,"24.9%",394,"22.5%","20.1%",254,"21.9%",0,0.43,0.15,0.2
"FBI","100 Thieves","ADC",13,"62%","38%",49,27,84,4.9,"72.3%","26.6%","18.5%","23%",117,-14,-0.5,8.9,"28.0%",548,"27.3%","29.0%",299,"24.9%",0,0.5,0.17,0.28
"Fudge","Cloud9","Middle",13,"85%","54%",43,19,86,6.8,"70.1%","23.4%","16.2%","23%",-37,280,0.2,9.1,"23.7%",397,"20.5%","22.2%",283,"22.1%",0,0.37,0.03,0.19
"Hans sama","Team Liquid","ADC",13,"77%","77%",55,25,77,5.3,"71.7%","29.9%","19.7%","62%",385,283,8.6,10.2,"30.7%",570,"29.0%","31.0%",328,"26.6%",0,0.47,0.18,0.38
"huhi","100 Thieves","Support",13,"62%","77%",14,39,108,3.1,"66.3%","7.6%","26.7%","31%",166,210,7.8,1.6,"3.3%",131,"6.8%","6.1%",107,"9.0%",0,1.72,0.56,0.41
"Huni","TSM","Top",13,"15%","31%",22,41,64,2.1,"67.2%","17.2%","19.1%","8%",-307,-538,-11.7,7.2,"22.7%",419,"25.1%","23.2%",238,"22.5%",0,0.54,0.18,0.17
